#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00050   21.8771555   0.0   0.0001095   21.919217   0.0   10.9462008   7.2974672   3.43e-05   21.791887   0.0   0.0001091   21.8652046   0.0   
00051   22.3146986   0.0   0.0001116   22.3576013   0.0   11.1651248   7.4434166   3.49e-05   22.2277247   0.0   0.0001113   22.3025087   0.0   
00052   22.7522417   0.0   0.0001138   22.7959856   0.0   11.3840489   7.5893659   3.56e-05   22.6635625   0.0   0.0001135   22.7398127   0.0   
00053   23.1897848   0.0   0.000116   23.23437   0.0   11.6029728   7.7353152   3.63e-05   23.0994002   0.0   0.0001156   23.1771168   0.0   
00054   23.627328   0.0   0.0001182   23.6727543   0.0   11.8218969   7.8812646   3.7e-05   23.535238   0.0   0.0001178   23.6144209   0.0   
00055   24.0648711   0.0   0.0001204   24.1111387   0.0   12.0408209   8.0272139   3.77e-05   23.9710757   0.0   0.00012   24.051725   0.0   
00056   24.5024142   0.0   0.0001226   24.549523   0.0   12.2597449   8.1731633   3.84e-05   24.4069135   0.0   0.0001222   24.4890291   0.0   
00057   24.9399573   0.0   0.0001248   24.9879073   0.0   12.4786689   8.3191126   3.91e-05   24.8427511   0.0   0.0001244   24.9263332   0.0   
00058   25.3775004   0.0   0.000127   25.4262917   0.0   12.6975929   8.465062   3.97e-05   25.2785889   0.0   0.0001266   25.3636373   0.0   
00059   25.8150435   0.0   0.0001292   25.864676   0.0   12.916517   8.6110113   4.04e-05   25.7144267   0.0   0.0001287   25.8009414   0.0   
